object,creator,description
"
                Elastic exercice for occupational therapist
                			",Antoine Cazade,"This object is constitute by a board and 8 sticks. The goal is to place the elastics on the support by including as many sticks as possible.This exercise allow to work the opening of the long fingers in relation to the thumb, one finger at a time or the whole hand can be used to work on the wrist as well.You can add those elastic from different lenght to use the object : https://www.amazon.co.uk/Helix-Rubber-Bands-Assorted-Sizes/dp/B004MY9YDY/ref=sr_1_3?ie=UTF8&qid=1536833306&sr=8-3&keywords=elastic+bandThe design is inspired by : http://www.equipement-ergotherapie.com/4-gamme-basergo-l-elastic.html "
"
                Faucet extention
                			",Patrick McInerny,"This is one of many 3D designs made by my 3rd grade students. Students worked in small groups and used the engineering design process to solve their client's problem. This group's client was a classroom teacher whose classroom faucent has been causing massive problems. Because the nozzle of the faucent was so high above the top of the sink water would spill off of the counters, causing huge messes in her art classroom. After studying the problem, the students decided that if they could get students hands lower in the sink, they would reduce the amound of water splashed onto the counter. Print in PETG, top down, with a brim for best results. "
"
                Qtip holder
                			",Philippe Barreaud,"Qtip holders - rabbit, bear, and cat. With cover. Very easy print.  "
"
                Neater Eater cutlery adapter / adaptateur de couvert pour Netaer Eater
                			",Julien OUDIN,"Here's a cutlery's adapter (spoon, fork or other) for Neater Eater.The first file has a rectangular opening (3*15mm) to insert the cutlery, the second is to drill or model to insert the cutlery of your choiceVoici un adaptateur pour couvert (cuillère, fourchette ou autre) pour Neater eaterLe premier fichier dispose d'une ouverture rectangulaire (3*15mm) pour insérer un couvert, le second est à percer ou modéliser pour pouvoir insérer le couvert de votre choix"
"
                Hand-Held Assistive Phone holder for Galaxy Note 8 and Iphone 7
                			",Cor Winckler,"Summary2 re-meshed phone holders that can be used by people with limited finger mobility. I cant remember which original models i used for the 2 holders, since I had to edit and remake them extensively.The 'lip' must be dipped in boiling water for 15 seconds, and then shaped around the person's hand. See pictures.If you use any-flat.stl... then you have to glue it to your existing phone holder. IE, in this case you dont have a iphone7 or galaxay note 8, but you still want to shape a holder.Print SettingsPrinter:UglyMonkey Rafts:No Supports:Yes Resolution:200micron Infill:40% Notes:I print at .2mm layer width.Your choice on support.Post-PrintingShapingYou have to dip the 'lip' into boiling water for about 12-15 seconds and then shape it around the person's hand."
"
                Toothbrush/paste holder
                			",Aaron Sarkisian,"Needed a holder that can hold 2 toothpastes, so i made one it also holds toothbrushes, picks, and small floss"
"
                Unicorn tip to play boccia / embout de licorne pour pratique de la boccia
                			",Julien OUDIN,"Realization of Carline, occupational therapist student :This unicorn tip (sold by SystErgo : systergo.fr) allows to hold a ball and release it to play boccia.Réalisation de Carline, stagiaire ergothérapeute :Cet embout de licorne (vendue par syst ergo) permet de maintenir une balle et de la relâcher pour jouer à la boccia."
"
                Smartphone holder for wheelchair
                			",Gabriela Alejandra Bravo Illanes,"This cellphone holder can be attached to the wheelchair frame (it can be attached to the joystic holder on the frame of electric chairs).This was designed for people unable to hold with their hand a cellphone, so they can use it more easily. (in this case the patient has a spinal cord injury, so he also need a orthosis that keep one of his finguer in position for use the touchscreen)This object was made for the ""Mutual de Seguridad C.Ch.C"" from Chile. In a project of the Direction of innovation and development, and the Neuro rehabilitation institute. Post-Printing (see images)Putt the “Small axis” as it’s showed in the picture. 2. Melt the top end of the “Small axis” with a soldering gun (or something that allows you locally melt plastic), it should be stick to the “Base cel” part, this will allow the rotation and block the movement when it’s horizontal. 3. Assemble the rest of pieces, you may need screws or print your own pin. You will need to drill 2 holes on “Axis p1”."
"
                Insulin Bottle Holder
                			",Steve Thone,Is is a 10ml Insulin Bottle Holder. I made this to try and keep my pet's insulin fresh by keeping the bottle hidden from the light every time the refrigerator door is opened. Not sure if it will prolong things but it keeps the bottle stable anyway.
"
                Coffe cup holder
                			",Donald Krizsán,Holder for 2 paper coffe cup
"
                5 switches special control box for power wheelchair / Boitier de commande spéciale à 5 contacteurs pour fauteuil roulant électrique
                			",Julien OUDIN,"Finding no solution in the trade, I 've made this special control box (inspired by Heartman and his "" Ultimate box maker"") to allow a person to use a power wheelchair.After some solderings and testing a prototype made in laser cutting, I printed a functional and definitive ABS case.This mount can also be used as an input device to a PC (with an Arduino supporting HID functions).This was used to determine the optimal size and location of the buttons prior to the driving test.Ne trouvant pas de solution dans le commerce, j'ai réalisé ce boitier (inspiré par Heartman et son "" Ultimate box maker "") pour permettre à une personne d'utiliser un fauteuil roulant électrique.Après quelques soudures et essai d'un prototype réalisé en découpe laser, j'ai imprimé un boitier fonctionnel et définitif en ABS.Ce montage peut aussi être utilisé comme périphérique d'entrée à un PC (avec un arduino supportant les fonctions HID). Ceci nous a servi pour déterminer la taille et l'emplacement optimal des boutons avant les test en situation de conduite."
